brand,name,seller,old_price,new_price,reviews_rating,reviews_total
LENOVO,"Notebook Lenovo IdeaPad 1 15IAU7 Intel Core i7-1255U HD 15.6"" Intel Iris Xe 512GB SSD 12GB RAM Windows 11- 82VY000PBR",Por Mobcom ,6.099,3.929,4.8,(151)
LENOVO,"Notebook Gamer Lenovo Loq 15irh8 Intel Core I5 12450H 16gb RAM 512GB SSD RTX 2050 Windows 11 Home Tela 15,6"" Full HD 83EU0001BR",Por Mobcom ,5.999,4.724,4.9,(1120)
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza",Por Loi Brasil ,3.072,2.249,4.8,(753)
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por 123 Comprou ,2.299,1.709,4.7,(397)
ACER,"Notebook Acer Aspire 3 Intel Core I3 - N305, 8G RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" Full HD - A315-510P-34XC",Por Mercado Livre ,2.865,2.355,4.8,(6101)
SAMSUNG,Notebook Samsung Galaxy Book4 Windows 11 Home Intel Core I3 8gb 256gb Ssd 15.6'' Full Hd Led 1.55 Kg Grafite,Por Vikings ,4.331,2.647,4.9,(1345)
LENOVO,"Notebook Lenovo Ideapad 1 Intel Core I3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR",Por Vikings ,3.915,2.359,4.8,(3178)
ACER,Notebook Acer Aspire 5 A514-54-57hc I5 8gb Ssd 512gb 14  Fhd Ips Windows 11 Pro,Por 2Eletro ,3.677,3.099,4.8,(167)
ACER,Notebook Gamer Acer Nitro V15 ANV15-51-57WS Core I5 Lx 8gb 512gb Ssd,Por Acer Brasil ,5.999,4.649,4.8,(1647)
,"Notebook Vaio Fe15, Amd® Ryzen 5, 8gb 256gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Linux - Cinza Grafite,  Vjfe59f11x-b1711h",Por 123 Comprou ,3.998,2.429,4.8,(624)
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por 123 Comprou ,2.299,1.709,4.7,(397)
,Notebook Ultra Intel Core I5 8gb Ram 256gb Ssd 14 Pol -ul154 Cor Preto,Por 123 Comprou ,3.765,2.033,4.8,(30)
,Notebook Vaio Fe15 Ryzen7 16gb 512gb Ssd Linux Prata Titânio,Por Vaio ,4.299,3.099,4.7,(394)
ACER,"Notebook Acer Aspire 5 Intel Core I5 - 12450H 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-55B8",Por Mercado Livre ,3.264,2.847,4.8,(4591)
DELL,Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11,Por Dell ,3.299,330,4.8,(474)
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza",Por Vikings ,3.581,2.249,4.8,(753)
DELL,Dell G15 i5-13450HX Rtx 3050 512 GB Ssd 8 GB Ddr5 120 Hz Win11 cinza escuro,,7.105,6.323,5.0,(2)
ACER,"Notebook Acer Aspire 5 Intel Core I5 12450H 8GB RAM 512GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-57T3",Por Acer Brasil ,3.499,349,4.8,(907)
ACER,Notebook Acer Aspire 3 15.6 Fhd I3 - N305 Ssd 256gb 8gb Lpddr5 Linux Debian Prata,Por INPOWER ,3.339,2.499,4.8,(77)
ACER,Acer Aspire 5 15.6 Fhd I7-12650h Ssd 256gb 8gb Linux Gutta Cor Gamut,Por 123 Comprou ,4.966,3.090,4.8,(82)
,"Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto",Por 123 Comprou ,3.219,2.159,4.8,(16)
DELL,Notebook Dell Inspiron I15-i120k-a35p I5 16gb 1tb 15.6 W11,Por Dell ,4.599,3.999,4.8,(680)
LENOVO,"Notebook Gamer Lenovo Loq 15irh8 Intel Core I5 12450H 16gb RAM 512GB SSD RTX 2050 Windows 11 Home Tela 15,6"" Full HD 83EU0001BR",Por Mobcom ,5.999,4.724,4.9,(1120)
,"Notebook Positivo Duo 2 em 1 Intel Celeron C4128B-3 4GB 128GB 11,6"" IPS HD Windows 11",Por Positivo ,1.349,134,4.6,(2795)
ACER,"Notebook Acer Aspire Vero AV15-51-577Q Intel Core I5, 16GB RAM, 512GB SSD, 15.6 Full HD, W11 Pro",Por Vikings ,5.665,3.599,4.8,(771)
,"Notebook Vaio Fe15, Amd® Ryzen 5, 8gb 256gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Linux - Cinza Grafite,  Vjfe59f11x-b1711h",Por 123 Comprou ,3.998,2.429,4.8,(624)
DELL,Notebook Dell Inspiron I15-i120k-a10p 15.6 I3 8gb 256gb W11,Por Dell ,2.919,292,4.8,(820)
LENOVO,"Notebook Lenovo Ideapad Intel Celeron - N4020, 4GB RAM, 128SSD, Windows 11 Home C/office, Tela Led 15,6"", Cor Cinza - 82VX0001BR",Por Vikings ,2.998,1.799,4.7,(1512)
ASUS,"Notebook ASUS Vivobook Go 15 E1504 AMD RYZEN 5 7520U 8GB Ram 256GB SSD Linux KeepOS 15,6” FHD Black E1504FA-NJ731",Por Mercado Livre ,2.523,252,4.8,(229)
LENOVO,Notebook Lenovo Ideapad 3i Celeron 4gb 128gb Ssd W11 15.6 Cor Prateado,Por 123 Comprou ,3.054,1.979,4.6,(1959)
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 5 7520U 8gb 512gb W11 15.6 HD 82x5000gbr,Por Lenovo ,2.614,251,4.8,(385)
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core I5, 8gb, 256gb Ssd, 15.6'' Full Hd Led, 1.55 Kg - Grafite",Por 2Eletro ,3.643,3.329,4.9,(756)
ASUS,"Notebook ASUS Vivobook Go 15 E1504FA-NJ836W AMD Ryzen 5 7520U 2,8 GHz 8GB 512GB SSD Windows 11 Home 15,6"" Full Hd Preto",,3.599,2.699,4.8,(194)
DELL,Notebook Dell 15.6 Fhd I7 16gb 512gb Ssd Rtx 3050,Por Dell ,7.697,6.927,4.7,(49)
DELL,Notebook Dell Inspiron I15-i120k-a15p I3 8gb 512gb 15.6 W11,Por Mercado Livre ,2.999,300,4.9,(345)
SAMSUNG,Notebook Galaxy Book2 intel core i7-1255U 8GB RA SSD 512GB 15.6 Full HD Windows 11 grafite NP550XED-KS2BR,Por Vikings ,5.998,3.599,4.8,(381)
SAMSUNG,"Samsung Chromebook 4 Intel Dual-Core 4GB 32GB Tela 11.6"" Prata XE310XBA-KT3BR Google Chrome OS HD LED",Por Webfones ,1.599,1.299,4.6,(1486)
,Notebook Positivo Vision C14 Lumina BAR Celeron 4GB 128GB eMMC Tela 14 Polegadas HD Antirreflexo Windows 11 Tecla Link – Cinza,Por INPOWER ,2.299,1.379,4.6,(2834)
ASUS,"Notebook Asus Vivobook Go E1504GA Intel Core I3 N305 4Gb Ram 256Gb Ssd Linux Keepos Tela 15,6 Fhd Silver - Nj447",Por Asus ,2.299,1.869,4.7,(258)
LENOVO,"Notebook Lenovo IdeaPad 3i Intel Core I3 - 1115G4, 8GB RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" - 82MD0010BR",Por 123 Comprou ,3.399,2.609,4.8,(804)
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel Inside U300, 8GB, 256GB SSD, UHD Graphics, 15.6"" Full HD LED, 1.55kg, Windows 11 Home, NP750XGJ-KG7BR",Por Vikings ,3.665,2.399,4.9,(354)
ACER,Notebook Acer Nitro V15 Core I5-13420h 8gb 512gb Rtx 3050 Cor Preto,Por Mercado Livre ,5.279,4.781,4.9,(143)
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core I5 - 1235U, 16gb RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' - 82vy000xbr - Cloudgrey",Por Lenovo ,3.194,307,4.8,(3178)
ACER,"Notebook Acer Aspire 5 A515-45-R5AT AMD Ryzen 5 5500U 15.6""AMD Radeon Graphics 256GB SDD 8GB RAM Windows 11",Por INPOWER ,3.599,2.849,4.8,(46)
LENOVO,"Notebook Lenovo IdeaPad 1i Intel Core i7-1255U 16GB 512GB SSD Windows 11 Home 15.6"" 82VY000NBR",Por Lenovo ,3.999,384,4.8,(3178)
ACER,"Notebook Acer Aspire 5 Intel® Core™ i7–12650H 15.6"" UHD para processadores Intel 512GB SSD 8GB RAM Windows 11 Home 64-bits - A515-57-76MR",Por Mobcom ,5.999,3.449,4.7,(129)
ACER,"Notebook Acer A515-57-5429 Intel Core i5-12450H 16GB RAM 512GB SSD Tela de 15,6'' Linux Gutta",Por Mercado Livre ,3.397,2.750,4.8,(602)
ASUS,"Notebook ASUS Vivobook 15 X1504ZA Intel Core i5 1235U 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Blue - NJ987W",Por Fast Shop ,3.092,309,4.9,(226)
,Notebook Ultra Intel Core I5 8gb Ram 256gb Ssd 14 Pol -ul154 Cor Preto,Por 123 Comprou ,3.765,2.033,4.8,(30)
LENOVO,"Notebook Gamer Lenovo Loq Intel Core I5 - 12450h, 16gb Ram, 512gb Ssd, Nvidia RTX 3050, Windows 11 Home, Tela 15,6"" Full Hd 83EU0003BR",Por Lenovo ,5.899,5.434,4.9,(1120)
,"Notebook Positivo Vision i15 i58256AI -15 Core i5 11th 8GB 256GB SSD Tela 15"" Full HD Antirreflexo, Linux - Cinza",Por 123 Comprou ,3.908,2.344,4.5,(101)
,"Notebook VAIO FE15 AMD Ryzen 7 32GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Linux Cor Cinza Grafite VJFE59F11X-B1011H",Por Vaio ,4.599,442,4.8,(187)
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core I5, 8gb, 512gb Ssd, 15.6'' Full Hd Led, 1.55 Kg - Grafite",Por Samsung ,3.299,329,4.8,(134)
ACER,"Notebook Gamer Acer Nitro V Intel Core I5 - 13420H, 8GB Ram, 512GB SSD, NVIDIA RTX4050, Windows 11 Home, Tela 15,6"" Full HD - ANV15-51-54DL",Por Acer Brasil ,6.499,5.349,4.9,(570)
ACER,Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux,,3.299,2.899,4.9,(122)
ACER,Acer Aspire 5 15.6 Fhd I7-12650h Ssd 256gb 8gb Linux Gutta Cor Gamut,Por 123 Comprou ,4.966,3.090,4.8,(82)
ACER,"Notebook Acer Gamer Anv15-51-582r Ci5 16gb 512ssd 15,6 Linux",Por Mercado Livre ,5.665,4.939,4.8,(629)
